theme,symbol,clean_symbol
EV Ecosystem,JBMA.NS,JBMA
EV Ecosystem,MOTHERSON.NS,MOTHERSON
EV Ecosystem,OLAELEC.NS,OLAELEC
EV Ecosystem,OLECTRA.NS,OLECTRA
EV Ecosystem,SONACOMS.NS,SONACOMS
EV Ecosystem,TMCV.NS,TMCV
EV Ecosystem,TMPV.NS,TMPV
EV Ecosystem,TVSMOTOR.NS,TVSMOTOR
Renewable Energy Generation,ADANIGREEN.NS,ADANIGREEN
Renewable Energy Generation,INOXWIND.NS,INOXWIND
Renewable Energy Generation,JSWENERGY.NS,JSWENERGY
Renewable Energy Generation,NHPC.NS,NHPC
Renewable Energy Generation,NTPC.NS,NTPC
Renewable Energy Generation,NTPCGREEN.NS,NTPCGREEN
Renewable Energy Generation,SJVN.NS,SJVN
Renewable Energy Generation,SUZLON.NS,SUZLON
Renewable Energy Generation,TATAPOWER.NS,TATAPOWER
Renewable Energy Generation,WAAREERTL.NS,WAAREERTL
Green Hydrogen,ADANIGREEN.NS,ADANIGREEN
Green Hydrogen,GAIL.NS,GAIL
Green Hydrogen,JSWENERGY.NS,JSWENERGY
Green Hydrogen,NTPC.NS,NTPC
Green Hydrogen,TATAPOWER.NS,TATAPOWER
Data Centre and AI,ANANTRAJ.NS,ANANTRAJ
Data Centre and AI,AURIONPRO.NS,AURIONPRO
Data Centre and AI,E2E.NS,E2E
Data Centre and AI,NETWEB.NS,NETWEB
Data Centre and AI,SCHNEIDER.NS,SCHNEIDER
Data Centre and AI,TATACOMM.NS,TATACOMM
Data Centre and AI,TECHNOE.NS,TECHNOE
Aviation,ADANIENT.NS,ADANIENT
Aviation,GMRAIRPORT.NS,GMRAIRPORT
Aviation,INDIGO.NS,INDIGO
Logistics,ADANIPORTS.NS,ADANIPORTS
Logistics,AEGISLOG.NS,AEGISLOG
Logistics,ALLCARGO.NS,ALLCARGO
Logistics,BLUEDART.NS,BLUEDART
Logistics,CONCOR.NS,CONCOR
Logistics,DELHIVERY.NS,DELHIVERY
Logistics,GATEWAY.NS,GATEWAY
Logistics,JSWINFRA.NS,JSWINFRA
Logistics,MAHLOG.NS,MAHLOG
Logistics,SHADOWFAX.NS,SHADOWFAX
Logistics,SNOWMAN.NS,SNOWMAN
Logistics,TCI.NS,TCI
Logistics,TCIEXP.NS,TCIEXP
Logistics,TVSSCS.NS,TVSSCS
Logistics,VRLLOG.NS,VRLLOG
Hospitals,APOLLOHOSP.NS,APOLLOHOSP
Hospitals,ASTERDM.NS,ASTERDM
Hospitals,FORTIS.NS,FORTIS
Hospitals,KIMS.NS,KIMS
Hospitals,MAXHEALTH.NS,MAXHEALTH
Hospitals,MEDANTA.NS,MEDANTA
Hospitals,NH.NS,NH
Hospitals,RAINBOW.NS,RAINBOW
Hospitals,SHALBY.NS,SHALBY
Hospitals,YATHARTH.NS,YATHARTH
Pharma Formulations,ABBOTINDIA.NS,ABBOTINDIA
Pharma Formulations,AJANTPHARM.NS,AJANTPHARM
Pharma Formulations,ALKEM.NS,ALKEM
Pharma Formulations,AUROPHARMA.NS,AUROPHARMA
Pharma Formulations,CIPLA.NS,CIPLA
Pharma Formulations,DRREDDY.NS,DRREDDY
Pharma Formulations,ERIS.NS,ERIS
Pharma Formulations,GLAXO.NS,GLAXO
Pharma Formulations,GLENMARK.NS,GLENMARK
Pharma Formulations,GRANULES.NS,GRANULES
Pharma Formulations,IPCALAB.NS,IPCALAB
Pharma Formulations,LINCOLN.NS,LINCOLN
Pharma Formulations,LUPIN.NS,LUPIN
Pharma Formulations,MANKIND.NS,MANKIND
Pharma Formulations,NATCOPHARM.NS,NATCOPHARM
Pharma Formulations,PFIZER.NS,PFIZER
Pharma Formulations,SANOFI.NS,SANOFI
Pharma Formulations,SUNPHARMA.NS,SUNPHARMA
Pharma Formulations,TORNTPHARM.NS,TORNTPHARM
Pharma Formulations,WOCKPHARMA.NS,WOCKPHARMA
Pharma Formulations,ZYDUSLIFE.NS,ZYDUSLIFE
Pharma CDMO & API,AARTIPHARM.NS,AARTIPHARM
Pharma CDMO & API,BIOCON.NS,BIOCON
Pharma CDMO & API,CONCORDBIO.NS,CONCORDBIO
Pharma CDMO & API,DIVISLAB.NS,DIVISLAB
Pharma CDMO & API,GLAND.NS,GLAND
Pharma CDMO & API,JUBLPHARMA.NS,JUBLPHARMA
Pharma CDMO & API,LAURUSLABS.NS,LAURUSLABS
Pharma CDMO & API,NEULANDLAB.NS,NEULANDLAB
Pharma CDMO & API,PPLPHARMA.NS,PPLPHARMA
Pharma CDMO & API,RUBICON.NS,RUBICON
Pharma CDMO & API,SAILIFE.NS,SAILIFE
Pharma CDMO & API,SYNGENE.NS,SYNGENE
Specialty Chemicals,AARTIIND.NS,AARTIIND
Specialty Chemicals,ATUL.NS,ATUL
Specialty Chemicals,DEEPAKNTR.NS,DEEPAKNTR
Specialty Chemicals,DIAMINESQ.NS,DIAMINESQ
Specialty Chemicals,FINEORG.NS,FINEORG
Specialty Chemicals,HSCL.NS,HSCL
Specialty Chemicals,NAVINFLUOR.NS,NAVINFLUOR
Specialty Chemicals,PIDILITIND.NS,PIDILITIND
Specialty Chemicals,PIIND.NS,PIIND
Specialty Chemicals,SRF.NS,SRF
Agrochemicals & Fertilisers,BAYERCROP.NS,BAYERCROP
Agrochemicals & Fertilisers,COROMANDEL.NS,COROMANDEL
Agrochemicals & Fertilisers,DEEPAKFERT.NS,DEEPAKFERT
Agrochemicals & Fertilisers,DHANUKA.NS,DHANUKA
Agrochemicals & Fertilisers,GSFC.NS,GSFC
Agrochemicals & Fertilisers,RALLIS.NS,RALLIS
Agrochemicals & Fertilisers,UPL.NS,UPL
Textiles,ABFRL.NS,ABFRL
Textiles,KPRMILL.NS,KPRMILL
Textiles,LUXIND.NS,LUXIND
Textiles,PAGEIND.NS,PAGEIND
Textiles,PGIL.NS,PGIL
Textiles,TRIDENT.NS,TRIDENT
Textiles,WELSPUNLIV.NS,WELSPUNLIV
Paints,ASIANPAINT.NS,ASIANPAINT
Paints,BERGEPAINT.NS,BERGEPAINT
Paints,INDIGOPNTS.NS,INDIGOPNTS
Paints,KAMOPAINTS.NS,KAMOPAINTS
Paints,KANSAINER.NS,KANSAINER
Paints,SHALPAINTS.NS,SHALPAINTS
Paints,SIRCA.NS,SIRCA
Jewellery & Gold,GOLDIAM.NS,GOLDIAM
Jewellery & Gold,KALYANKJIL.NS,KALYANKJIL
Jewellery & Gold,PNGJL.NS,PNGJL
Jewellery & Gold,SENCO.NS,SENCO
Jewellery & Gold,SKYGOLD.NS,SKYGOLD
Jewellery & Gold,THANGAMAYL.NS,THANGAMAYL
Jewellery & Gold,TITAN.NS,TITAN
Silver,HINDZINC.NS,HINDZINC
Silver,VEDL.NS,VEDL
Critical Minerals,ARE&M.NS,ARE&M
Critical Minerals,HINDZINC.NS,HINDZINC
Critical Minerals,MOIL.NS,MOIL
Critical Minerals,NATIONALUM.NS,NATIONALUM
Critical Minerals,NMDC.NS,NMDC
Critical Minerals,VEDL.NS,VEDL
Metals & Mining,COALINDIA.NS,COALINDIA
Metals & Mining,HINDALCO.NS,HINDALCO
Metals & Mining,JINDALSTEL.NS,JINDALSTEL
Metals & Mining,JSL.NS,JSL
Metals & Mining,JSWSTEEL.NS,JSWSTEEL
Metals & Mining,LLOYDSME.NS,LLOYDSME
Metals & Mining,NMDC.NS,NMDC
Metals & Mining,SAIL.NS,SAIL
Metals & Mining,TATASTEEL.NS,TATASTEEL
Metals & Mining,VAML.NS,VAML
Metals & Mining,VEDL.NS,VEDL
Metals & Mining,VISL.NS,VISL
Telecom Services,BHARTIARTL.NS,BHARTIARTL
Telecom Services,IDEA.NS,IDEA
Telecom Services,NELCO.NS,NELCO
Telecom Services,TATACOMM.NS,TATACOMM
Telecom Services,TTML.NS,TTML
Telecom Infra,HFCL.NS,HFCL
Telecom Infra,INDUSTOWER.NS,INDUSTOWER
Telecom Infra,ITI.NS,ITI
Telecom Infra,RAILTEL.NS,RAILTEL
Telecom Infra,STLTECH.NS,STLTECH
Telecom Infra,TEJASNET.NS,TEJASNET
Telecom Infra,VINDHYATEL.NS,VINDHYATEL
Media & Broadcasting,DBCORP.NS,DBCORP
Media & Broadcasting,DEN.NS,DEN
Media & Broadcasting,DISHTV.NS,DISHTV
Media & Broadcasting,HATHWAY.NS,HATHWAY
Media & Broadcasting,NDTV.NS,NDTV
Media & Broadcasting,NETWORK18.NS,NETWORK18
Media & Broadcasting,PFOCUS.NS,PFOCUS
Media & Broadcasting,PVRINOX.NS,PVRINOX
Media & Broadcasting,SUNTV.NS,SUNTV
Media & Broadcasting,ZEEL.NS,ZEEL
